duration,fwd_packets,bwd_packets,fwd_len,bwd_len,flow_bytes_s,flow_packets_s,fwd_iat_mean,bwd_iat_mean,fwd_psh_flags,syn_count,rst_count,ack_count,psh_count,active_mean,idle_mean,flow_iat_mean,fwd_len_mean,bwd_len_mean,dst_port,label,attack_type
1195,7,2,278,749,33881.20258215974,0.7573596502642753,24.09308120659916,185.70030778994547,0.0,2.0,0.0,7,0.0,1266.83212849646,31392.113304389874,11.843202761938429,95974.42218797606,183.17297702222132,40877,1,PortScan
11,4,4,409,366,425.8286379714867,1.4963020834015084,167.8454044100275,23.310115497877458,0.0,5.0,0.0,26,1.0,62.573928144190646,298.77819304283787,4.92391878327783,12.604029160857682,471.53605524572936,22,0,Benign
27,14,3,2909,15259,66866.67596688363,71.56473069483522,2114.144070774124,12.27781095934891,2.0,3.0,0.0,37,4.0,79.3810124560477,2280.7219917999096,4.5065111832951,14664.681016704855,324.17849754024695,53,1,DoS
17,14,6,7824,22799,64597.25569900407,70.32663337469462,117.81133480673671,1882.366604816694,0.0,3.0,1.0,18,0.0,1706.3196960133898,77124.49943965292,223.69124482873758,2763.3614189216814,24003.684902208824,443,0,Benign
9,2,2,14,1887,23138.321684540108,12.008226451189097,15.676550631490294,151.67224351042603,0.0,3.0,1.0,5,1.0,18.423166048302352,6715.341948798558,33.26313411673718,36.34661802276956,87.81754895338334,25,0,Benign
57,3,3,480,617,183203.44088205975,16.918024692224854,173.89424267582982,37.131355504271845,1.0,5.0,0.0,88,1.0,15.845431995281787,22.54875607231373,74.62032423654291,70.8074413892138,251.5197921132195,80,0,Benign
65,6,8,15229,172084,335026.2930187997,4.74682842903016,59.11916261834142,17606.848957669456,0.0,2.0,0.0,51,2.0,87477.06882031444,549.0334329947393,1767.6723299361047,34044.3232883478,37765.162932648374,21,0,Benign
362,7,3,471485,31487,3136751.4072428197,14.247795928323,53.87413668807275,2360.0403447608137,1.0,0.0,0.0,68,1.0,8322.137001816125,2659.300661974561,4547.059738727941,176673.39986372486,35259.3020761678,443,0,Benign
1804,13,7,8962,21480,517143.3396524276,54.844691606886855,302.15783920234776,186.72719512175124,1.0,2.0,0.0,12,0.0,7165.8323997135285,5372.296419922773,267.9795870999319,10531.538784437736,1741.775377089553,443,0,Benign
155,8,9,32407,211391,210037.99362159573,60.23819868583169,957.8632906055487,250.52054213731196,1.0,4.0,0.0,38,0.0,10911.63872798146,2252.886112088499,232.75045450342526,38255.75237743606,18865.955578688663,443,0,Benign
742,5,10,27887,156895,459171.2784044285,29.578847804976675,265.17870416062203,646.5724768501918,0.0,3.0,1.0,73,2.0,771.3139261451672,104840.09252547985,142.42920262101194,729.8622717630741,9448.454413496696,53,0,Benign
152,9,13,567,19285,172867.78056946598,206.61276128451544,122.05262466274698,1016.5879633781126,1.0,1.0,0.0,68,1.0,8087.537920800969,34049.26544094068,162.84350559070788,7443.6545115668505,17262.27524930262,443,0,Benign
3,113,3,152,5,7003007.40416413,1259.9174652492636,3.001089883000997,1.8706741892085206,11.0,39.0,8.0,10,9.0,0.9768608423489162,0.9182369549853086,1.640188227709029,7.801461458819528,4.991531648868721,53,1,DoS
15,6,10,20060,6141,1200757.1667285683,1.4041319772585756,138.7479595527626,2557.2560988174814,0.0,1.0,1.0,82,2.0,1108.6242847706576,39277.23538296317,562.1779589623579,523.1820947296599,6364.950441145819,22,0,Benign
755,4,2,797,603,3578.286423710344,2.5501639623412795,24.515529180078957,753.5091292384872,2.0,5.0,0.0,90,1.0,1.7522192802369496,1414.0228034318309,7.326330889331429,349.0256079174432,1432.3667269271432,80,0,Benign
30,7,2,97,1496,14526.10306544587,6.764200283148612,120.74916341750918,51.41856930802421,0.0,9.0,0.0,0,0.0,44.744035473050246,1824.3118626416726,210.18911106101913,1044.152882244281,3092.0365562536294,443,0,Benign
1466,12,6,3171,59686,6399649.915924513,319.58205187808557,81.44093906639151,556.5710736832168,0.0,4.0,0.0,44,3.0,166.11523206338327,8196.87972933618,595.1885741576476,12173.11165650729,5638.345858762401,80,0,Benign
0,1,0,0,0,17.180006599555366,6.737948278444327,5.50876896656463,0.9847202112712095,0.0,0.0,0.0,0,0.0,1.242592850690379,1.0435138014950958,2.533330039097682,23.230682220992406,1.002186297136415,4040,1,PortScan
114,16,6,59,363,357241.83935702045,301.26842186659866,1.9278905475779344,297.15114173023517,2.0,4.0,2.0,39,0.0,167.26621329617313,2124.251833095879,1.561667793279706,429.5401422919259,2775.5231886079637,443,1,DoS
1100,12,7,53482,17958,25394.361097283756,103.32018822449241,12.760466673112587,1377.5233025530545,2.0,4.0,0.0,18,1.0,8216.741224312711,2517.661809948847,3384.4255983440303,3113.8648663515924,10553.817144002596,80,0,Benign
433,4,12,72263,170896,412149.16825394647,11.459391629321987,373.14323854492017,169.48619251146212,1.0,1.0,0.0,28,4.0,7083.660919436348,9890.018429641686,2013.6224064877756,727.8341518193741,12862.520812211922,80,0,Benign
8,4,4,248,1046,6310.193676285564,7.205585273252923,0.8073539066669032,28.112972586105172,1.0,8.0,0.0,4,0.0,377.8644550432059,81.64233075070408,445.142848083834,78.34802157438776,162.45059813610987,25,0,Benign
1,4,8,43,4497,868.8775997034036,2.766954604222722,6090.486154425329,2326.4901110116425,3.0,8.0,1.0,60,2.0,25.29121091172016,286.20149743791734,1350.7476239871228,0.8688175732891426,40238.043930743195,80,0,Benign
68,5,5,27096,48871,188429.9447675154,123.57805558821597,105.08837746018625,9079.388953476044,3.0,2.0,1.0,16,2.0,20624.94770212295,66789.50335043193,110.23560733732066,29269.345529411534,19373.879377362267,8080,0,Benign
392,11,9,23336,113338,577564.4425251503,25.290260070796897,454.10422447651393,554.6588475834783,1.0,1.0,0.0,87,5.0,2707.623141929767,6009.413914278453,47.3437019632878,13354.759636516164,50911.63689509326,80,0,Benign
83,7,12,17901,10418,1369675.8707393315,3.593302455548254,64.10728519053981,333.6878891951627,0.0,0.0,2.0,118,1.0,27080.05486242253,31326.755072390017,4752.392849177268,446.79193658796004,195144.80585859157,8080,0,Benign
61,6,6,10,727,2376.9121122125825,8.778973861312862,82.46463404767483,46.683715715691285,0.0,8.0,0.0,18,2.0,18.135503010895967,13.062417376840767,202.35239210660822,248.28365987809863,8.988878728746533,53,0,Benign
53,11,7,57793,160342,969511.8805396726,3.89076375891059,983.3875605818934,105.5095197680228,0.0,1.0,0.0,16,2.0,2737.6644716351307,21515.17714806085,25.15709308038688,6929.2157281968875,4393.4080142043385,443,0,Benign
4,9,1,56,22829,13257.187132497233,69.04275574858775,14.81278310964599,226.11782881858872,3.0,7.0,0.0,161,0.0,94.46321913395386,1474.0665992542654,1.1197470394656772,13.864292142615403,58.308279555570245,53,0,Benign
0,13,4,1027,7760,96617.63034302706,216.5567906546159,5.3146704108022265,27.479047755724622,1.0,1.0,1.0,267,4.0,95.92655607523498,7993.334480543795,180.58250795937616,81.6938811834642,435.94060737470977,443,1,DoS
35,11,9,5763,70321,1355700.4293624267,6.3651902814687915,163.27428621058021,3593.9990814482358,1.0,2.0,0.0,60,0.0,563.4445704324115,52433.74420572737,411.89789444075086,821.0023800097808,40474.92747288371,80,0,Benign
237,12,5,321625,504364,499478.38466792885,25.061976478556478,176.7872286939254,4282.888145914506,1.0,2.0,1.0,134,0.0,26237.378784243374,7903.3476571811925,74.68786489689911,650.8239412437933,119120.98730823291,53,0,Benign
1838,10,6,36977,79068,927954.6453564813,43.80672254077535,1324.2636577983067,56.41029028556978,0.0,6.0,0.0,91,0.0,3289.6033349038657,31656.92516144239,593.8011138870361,8821.401134957296,34561.86882210507,22,0,Benign
144,10,8,56372,48827,870928.2015012921,3.1430555404917384,129.4879105864857,1008.2670861447589,1.0,4.0,0.0,253,1.0,149.80512429133765,28026.375942088333,971.3733790354879,144236.506894836,703.4572616862597,80,0,Benign
839,3,2,239,3191,122919.06012305607,7.577857908370636,83.39618603253332,45.2156272323356,0.0,3.0,0.0,6,0.0,259.39846623818687,1787.8578227682085,3006.5654461204226,206964.27863634957,914.5720355986624,22141,1,PortScan
295,8,9,4808,14049,112082.3224613444,21.756251283341687,219.98940043975634,2886.3069708922285,0.0,1.0,2.0,10,3.0,45780.043859593876,13760.050887257261,291.6334229872938,16952.373968771044,207863.6875375635,8080,0,Benign
254,7,5,696,12938,52904.68849197603,52.116064597912874,110.15559349756468,1944.854140307179,1.0,3.0,0.0,34,1.0,56468.46014126272,4510.311895945848,1067.7700354271385,2394.404972600463,1033.665894025466,53,0,Benign
173,14,8,17730,6321,70852.25792948273,52.03593316677553,1260.8698547880097,850.402566118664,1.0,3.0,0.0,28,0.0,681.5091326334222,104119.99100413674,71.00479504010261,407.69631051352593,60856.42044711367,8080,0,Benign
2,12,8,35551,4212,134.64303628758435,3.960594835927573,4492.1732861499495,222.17363590121468,0.0,0.0,0.0,9,0.0,99.0232126736156,81.39878209553487,5010.565028678258,194.7779477984408,111.9455698693118,22,1,Infiltration
14,2,1,26,145,3738.172662038269,2.841315243204332,104.16814632466601,133.2355297713785,0.0,6.0,1.0,3,4.0,165.9032357544799,92.54296500069074,7.864004341104302,192.4942390465981,2436.612039734635,53,0,Benign
1,5,4,67,24,1380.0387040715073,28.432200119818965,29.98627397995432,9.094636943782298,3.0,9.0,1.0,10,0.0,1.3772994877731346,2.645050345524303,28.01734416538221,127.25032324739533,13.884705722828372,22,1,BruteForce
